Month,all sectors cents per kilowatthour,residential cents per kilowatthour,commercial cents per kilowatthour,industrial cents per kilowatthour
Oct-20,8.3,11.89,7.63,5.19
Sep-20,8.91,12.01,7.94,5.2
Aug-20,9,11.74,7.78,5.57
Jul-20,8.84,11.81,7.48,5.18
Jun-20,8.78,12,7.69,5.06
May-20,8.54,12.03,7.7,5.03
Apr-20,8.45,12.3,7.77,5.15
Mar-20,8.38,12.08,7.79,5.37
Feb-20,8.57,11.97,7.89,5.4
Jan-20,8.31,11.74,7.57,5.09
Dec-19,8.28,11.71,7.98,5.02
Nov-19,8.52,11.99,8.14,5.58
Oct-19,8.66,11.81,8.06,5.55
Sep-19,9.09,11.81,8.42,5.8
Aug-19,9.45,11.76,8.33,7.26
Jul-19,8.65,11.71,7.82,5.26
Jun-19,8.47,11.8,7.88,5.01
May-19,8.29,12.01,7.85,5.14
Apr-19,8.16,12,8.09,5.03
Mar-19,8.34,11.6,8.07,5.27
Feb-19,8.34,11.6,8.03,5.07
Jan-19,8.37,11.44,7.93,5.14
Dec-18,8.03,11,7.74,4.97
Nov-18,8.35,11.6,8.27,5.3
Oct-18,8.36,11.5,8,5.26
Sep-18,8.58,11.39,8.03,5.19
Aug-18,8.82,11.27,8.24,5.62
Jul-18,8.82,11.09,8.08,6.05
Jun-18,8.77,11.2,8.21,5.75
May-18,8.38,11.36,8.2,5.43
Apr-18,8.13,11.39,8.2,5.07
Mar-18,8.23,11.35,8.36,5.11
Feb-18,8.46,10.87,8.55,5.31
Jan-18,8.49,10.63,8.15,5.5
Dec-17,8.07,10.89,8.08,5.12
Nov-17,8.17,11.23,8.31,5.17
Oct-17,8.35,11.09,8.14,5.32
Sep-17,8.57,11.12,8.16,5.43
Aug-17,8.6,10.95,8.17,5.39
Jul-17,8.62,10.87,8.24,5.52
Jun-17,8.55,11.03,8.37,5.43
May-17,8.33,11.05,8.27,5.53
Apr-17,8.25,11.09,8.3,5.43
Mar-17,8.14,11.12,8.32,5.25
Feb-17,8.33,11.16,8.48,5.3
Jan-17,8.32,10.74,8.32,5.34
Dec-16,8.23,10.85,8.21,5.31
Nov-16,8.25,11.1,8.23,5.38
Oct-16,8.42,11.02,8.35,5.34
Sep-16,8.7,11.11,8.23,5.52
Aug-16,8.65,10.91,8.12,5.45
Jul-16,8.65,10.83,8.13,5.47
Jun-16,8.54,10.95,8.3,5.4
May-16,8.26,11.1,8.26,5.21
Apr-16,8.13,11.26,8.22,5.12
Mar-16,8.23,11.19,8.38,5.23
Feb-16,8.36,10.99,8.4,5.21
Jan-16,8.38,10.88,8.32,5.25
Dec-15,8.22,11.19,7.89,5.29
Nov-15,8.13,11.38,7.95,5.23
Oct-15,8.35,11.35,7.92,5.32
Sep-15,8.8,11.51,8.11,5.53
Aug-15,8.98,11.43,8.12,5.81
Jul-15,8.9,11.5,8.07,5.71
Jun-15,8.84,11.78,8.26,5.6
May-15,8.63,12.04,8.21,5.56
Apr-15,8.46,12.1,7.98,5.54
Mar-15,8.85,11.56,8.49,5.79
Feb-15,8.94,11.62,8.5,5.84
Jan-15,9.01,11.49,8.4,5.93
Dec-14,8.81,11.81,8.03,6.25
Nov-14,8.75,11.98,8.28,6.04
Oct-14,8.95,12.07,8.16,6.29
Sep-14,9.16,12.03,8.04,6.28
Aug-14,9.28,12.05,8.16,6.38
Jul-14,9.33,12.05,8.24,6.53
Jun-14,9.2,12.17,8.26,6.34
May-14,8.55,11.93,8.17,5.73
Apr-14,8.55,12.06,8.21,5.86
Mar-14,8.79,11.75,8.35,6.08
Feb-14,8.85,11.25,8.04,6.35
Jan-14,8.75,11.22,8.02,5.83
Dec-13,8.67,11.27,8,5.79
Nov-13,8.39,11.67,7.9,5.64
Oct-13,8.63,11.68,8,5.74
Sep-13,8.81,11.36,7.84,6.03
Aug-13,9,11.45,7.98,6.14
Jul-13,9.01,11.41,8.06,6.14
Jun-13,8.89,11.44,8.09,6.05
May-13,8.59,11.57,8.19,5.8
Apr-13,8.38,11.43,8.06,5.65
Mar-13,8.31,11.03,8.07,5.52
Feb-13,8.39,11.05,8.03,5.59
Jan-13,8.45,10.84,8.02,5.45
Dec-12,8.38,10.99,7.97,5.54
Nov-12,8.27,11.11,7.96,5.49
Oct-12,8.43,11.16,8.06,5.51
Sep-12,8.78,11.11,8.14,5.71
Aug-12,8.87,10.96,8.15,5.9
Jul-12,8.78,10.87,8.08,5.87
Jun-12,8.71,10.97,8.15,5.6
May-12,8.35,10.84,8.09,5.37
Apr-12,8.26,11.02,8.18,5.23
Mar-12,8.31,11.01,8.27,5.41
Feb-12,8.59,11.05,8.51,5.58
Jan-12,8.56,10.77,8.41,5.58
Dec-11,8.61,10.89,8.49,5.82
Nov-11,8.58,11.19,8.62,5.94
Oct-11,8.74,11.23,8.6,5.96
Sep-11,9.34,11.16,9.03,6.69
Aug-11,9.62,11.15,9.14,7.27
Jul-11,9.34,11.16,8.84,6.47
Jun-11,9.28,11.25,8.95,6.44
May-11,8.83,11.27,8.8,6
Apr-11,8.59,11.16,8.68,5.87
Mar-11,8.75,11.13,8.92,6.08
Feb-11,8.94,10.65,8.93,6.3
Jan-11,8.7,10.7,8.69,5.81
Dec-10,9.02,11.25,8.92,6.32
Nov-10,8.66,11.32,8.75,6.07
Oct-10,9.15,11.62,9.06,6.43
Sep-10,9.35,11.58,9.12,6.19
Aug-10,9.63,11.7,9.15,6.68
Jul-10,9.53,11.71,9.05,6.54
Jun-10,9.57,11.85,9.21,6.48
May-10,9.3,11.94,9.25,6.4
Apr-10,9.34,12.12,9.41,6.48
Mar-10,9.38,11.51,9.59,6.56
