description,units,source key,Jan-01,Feb-01,Mar-01,Apr-01,May-01,Jun-01,Jul-01,Aug-01,Sep-01,Oct-01,Nov-01,Dec-01,Jan-02,Feb-02,Mar-02,Apr-02,May-02,Jun-02,Jul-02,Aug-02,Sep-02,Oct-02,Nov-02,Dec-02,Jan-03,Feb-03,Mar-03,Apr-03,May-03,Jun-03,Jul-03,Aug-03,Sep-03,Oct-03,Nov-03,Dec-03,Jan-04,Feb-04,Mar-04,Apr-04,May-04,Jun-04,Jul-04,Aug-04,Sep-04,Oct-04,Nov-04,Dec-04,Jan-05,Feb-05,Mar-05,Apr-05,May-05,Jun-05,Jul-05,Aug-05,Sep-05,Oct-05,Nov-05,Dec-05,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20
Net generation for all sectors,thousand megawatthours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,,ELEC.GEN..M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States : all fuels (utility-scale),,ELEC.GEN.ALL-US-99.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States : other renewables,thousand megawatthours,ELEC.GEN.AOR-US-99.M,6025,5310,5795,5827,5738,5964,6244,6293,5770,6050,5713,6038,6599,5800,6354,6543,6760,7066,7056,7044,6582,6559,6250,6497,6500,5962,6719,6674,6473,6678,7009,6790,6537,6548,6531,7067,6888,6489,7001,6895,7339,7098,7267,7027,6697,6851,6492,7024,7004,6221,7369,7201,7544,7636,7565,7236,7294,7182,7322,7756,8435,7374,8199,7860,8036,7782,8121,7894,7720,8295,8304,8505,8668,7877,8778,8693,8621,8549,8371,8895,8843,9362,9029,9553,10243,9349,10703,10971,11100,11145,10333,9514,8924,10647,10782,12390,11739,11231,12950,12986,11864,11467,11187,11791,10524,12668,12810,13061,12805,10901,14654,15607,14631,14209,13107,13100,13227,13791,15782,15359,14742,16116,16650,18125,17638,17284,14000,14054,13048,16550,18589,17185,19904,16996,20201,18563,18898,18469,15726,15330,15402,19225,18217,21401,21518,20330,22810,23961,23254,20954,18593,17382,18991,21058,23030,21626,25493,21001,25851,26476,23822,24464,21044,19021,19893,22718,26807,22621,23121,22561,23943,26494,26182,22561,23454,22821,22647,24708,28065,28602,26679,28738,31084,29666,28711,26236,28372,24465,26529,29749,28819,32583,29929,30964,36935,36514,35193,32774,28588,26186,29297,35264,32359,32246,35762,33311,38256,38503,37268,38608,30071,33296,30679,32396,32077,34065,34356,32215,37840,41177,38813,36424,36666,34395,37373,39392,35052,36120,39121,40742,42032,43398,44062,45223,39065,38259,36774,42442
United States : wind,thousand megawatthours,ELEC.GEN.WND-US-99.M,389,431,532,685,635,670,635,577,490,607,470,616,811,714,852,1024,1078,1126,890,977,736,734,656,755,632,745,1036,1093,1006,1047,953,815,895,897,961,1105,999,1022,1291,1295,1702,1397,1164,1051,1090,1029,932,1172,1132,966,1561,1698,1746,1797,1421,1138,1468,1446,1610,1828,2383,1922,2359,2472,2459,2052,1955,1655,1879,2442,2540,2472,2452,2520,3047,3172,2952,2620,2158,2699,2867,3377,3095,3490,4273,3852,4782,5225,5340,5140,4008,3264,3111,4756,4994,6616,5951,5852,7099,7458,6262,5599,4955,5464,4651,6814,6875,6906,6854,5432,8589,9764,8698,8049,6724,6686,7106,7944,9748,9059,8550,10452,10545,12422,11772,10985,7489,7474,6869,10525,12439,10656,13631,11052,14027,12709,12540,11972,8823,8469,8790,12636,11648,14524,14739,14076,15756,17476,16239,13748,11094,9634,11674,13635,15803,13967,17911,14009,17736,18636,15601,15799,12187,10171,11520,14508,18867,14711,15162,14922,15308,17867,17151,13421,13675,13080,13972,16380,19682,20098,18466,20138,21939,20799,18848,16303,17618,13589,16404,20335,19406,23146,20799,22091,25731,25378,23068,20142,16120,13879,17912,24369,22615,22201,25599,23189,26464,26431,23953,24703,16447,19846,18520,21194,22016,24306,24248,22547,25677,28854,25695,22385,22043,19951,24448,27521,25042,26496,28149,29092,29204,29336,28163,29872,22579,22571,23176,29419
United States : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-US-99.M,7,13,31,39,81,91,92,85,65,21,14,4,11,24,44,46,58,96,86,75,53,31,28,4,13,18,50,60,68,91,62,62,56,35,14,4,13,11,53,57,82,88,82,73,61,34,15,8,9,13,38,58,81,88,72,76,61,38,13,3,13,20,33,52,71,70,62,83,54,32,16,3,13,19,48,54,84,84,86,75,68,49,24,5,16,36,75,94,99,128,111,105,93,60,29,19,7,30,78,99,110,103,121,116,95,68,40,21,10,33,76,112,153,176,161,156,138,75,77,44,40,85,122,164,191,223,191,229,186,159,107,121,95,135,231,319,463,527,510,461,458,431,347,349,310,433,619,667,753,871,829,944,949,988,824,850,751,835,1317,1487,1750,1923,1788,1879,1832,1717,1380,1032,1155,1484,2072,2379,2504,2558,2627,2688,2217,1910,1730,1570,1486,2242,2617,2880,3425,3473,3945,3969,3635,3191,2767,2424,2324,2751,4514,4907,5785,6115,5569,5369,5059,4650,3209,3035,3319,3896,5056,6057,6849,7415,6755,6695,5961,4970,3743,3110,3580,3836,5899,6752,7162,7971,8133,7877,6817,6093,4364,3453,4690,5717,6434,8048,9734,9529,10379,9370,7757,7326
United States : geothermal,thousand megawatthours,ELEC.GEN.GEO-US-99.M,1229,1073,1190,1095,1071,1088,1179,1167,1139,1162,1157,1190,1287,1132,1245,1115,1216,1151,1262,1227,1195,1235,1189,1236,1258,1130,1213,1166,1169,1223,1228,1219,1203,1195,1151,1268,1295,1214,1241,1161,1208,1225,1278,1257,1188,1276,1212,1256,1252,1063,1204,1187,1264,1248,1273,1254,1223,1247,1220,1257,1230,1111,1261,1129,1096,1199,1261,1289,1219,1275,1207,1290,1296,1122,1204,1158,1155,1238,1250,1255,1218,1265,1211,1266,1209,1087,1251,1218,1259,1260,1279,1273,1234,1277,1233,1261,1289,1168,1300,1222,1235,1209,1255,1251,1217,1221,1273,1368,1312,1159,1307,1240,1311,1264,1274,1297,1253,1222,1252,1330,1347,1215,1337,1239,1318,1215,1269,1275,1226,1281,1271,1324,1263,1193,1285,1248,1304,1277,1321,1304,1300,1329,1347,1390,1382,1236,1378,1274,1308,1278,1337,1322,1299,1363,1230,1366,1355,1206,1338,1314,1332,1293,1320,1329,1308,1345,1362,1375,1362,1260,1394,1272,1390,1302,1357,1344,1203,1323,1334,1377,1332,1243,1315,1209,1342,1251,1311,1324,1327,1353,1364,1454,1407,1239,1387,1341,1302,1284,1373,1363,1332,1214,1305,1381,1341,1274,1367,1188,1383,1300,1370,1367,1328,1273,1331,1446,1390,1293,1422,1254,1342,1328,1375,1393,1368,1141,984,1183,1265,1274,1517,1450,1449,1369,1431,1426,1390,1379
United States : biomass,,ELEC.GEN.BIO-US-99.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States : wood and wood-derived fuels,thousand megawatthours,ELEC.GEN.WWW-US-99.M,3191,2697,2853,2821,2740,2891,3053,3179,2874,3046,2879,2975,3255,2844,2961,3196,3161,3395,3440,3369,3313,3346,3161,3222,3269,2905,3080,3036,2928,3028,3361,3310,3079,3139,3119,3275,3318,3020,3124,3091,2989,3083,3416,3317,3119,3264,3074,3302,3333,3055,3288,3036,3101,3174,3417,3420,3259,3246,3190,3338,3422,3051,3201,2980,3039,3134,3444,3478,3260,3213,3182,3358,3536,3015,3106,3055,3081,3213,3434,3426,3290,3246,3273,3339,3338,3010,3123,2930,2927,3114,3327,3342,3059,3064,3077,2988,3030,2823,2919,2664,2735,2997,3227,3355,3061,3032,3049,3158,3126,2895,3090,2932,2893,3094,3308,3319,3157,3003,3080,3275,3290,2937,3081,2798,2794,3230,3362,3384,3178,2954,3088,3353,3314,3111,3034,2704,2937,3081,3352,3370,3227,3113,3190,3365,3400,3083,3300,2863,3174,3330,3536,3634,3353,3341,3407,3606,3626,3265,3609,3230,3290,3622,3807,3761,3462,3422,3508,3737,3717,3372,3457,3246,3338,3496,3806,3788,3450,3252,3418,3587,3600,3406,3403,2967,3187,3414,3658,3722,3407,3176,3391,3615,3502,3186,3456,3146,3188,3437,3703,3751,3292,3303,3426,3734,3686,3235,3547,3102,3352,3471,3749,3630,3281,3216,3264,3404,3465,3042,3217,2807,3051,3159,3498,3539,3211,3063,3137,3355,3345,3145,3196,2970,3099,2993,3112,3302,2938,2802
United States : other biomass,thousand megawatthours,ELEC.GEN.WAS-US-99.M,1209,1096,1189,1187,1211,1225,1286,1285,1201,1215,1192,1253,1233,1086,1252,1162,1247,1298,1378,1396,1285,1213,1215,1279,1328,1163,1340,1318,1301,1290,1404,1383,1303,1281,1285,1415,1263,1223,1291,1291,1359,1306,1327,1329,1239,1248,1258,1287,1278,1123,1278,1223,1351,1329,1381,1348,1283,1205,1290,1330,1388,1270,1344,1227,1371,1328,1399,1389,1308,1332,1359,1382,1371,1200,1373,1254,1349,1392,1443,1440,1400,1426,1425,1452,1407,1364,1472,1504,1475,1502,1608,1529,1427,1490,1449,1506,1462,1357,1553,1542,1522,1558,1628,1604,1501,1533,1572,1608,1503,1382,1592,1558,1577,1627,1640,1642,1575,1547,1625,1650,1515,1427,1565,1503,1563,1632,1690,1692,1589,1631,1684,1731,1601,1504,1623,1583,1654,1612,1721,1726,1626,1716,1684,1773,1688,1503,1757,1681,1781,1727,1797,1847,1716,1731,1765,1837,1850,1686,1851,1810,1849,1826,1942,1880,1772,1726,1691,1767,1725,1524,1712,1729,1799,1784,1989,1921,1805,1843,1902,1969,1795,1708,1809,1811,1909,1794,1840,1860,1757,1693,1891,1944,1897,1697,1848,1742,1850,1797,1824,1825,1703,1728,1805,1896,1817,1716,1822,1726,1732,1720,1750,1758,1590,1743,1724,1799,1672,1498,1625,1510,1564,1581,1617,1636,1530,1573,1525,1633,1672,1515,1682,1594,1617,1459,1564,1589,1512,1516
